student_id,course,gender,region,highest_education,age_band,num_prev_attempts,studied_credits,disability,final_result
100041,DDD,M,Ireland,Lower Than A Level,35-55,0,60,N,Distinction
100042,DDD,M,Wales,A Level or Equivalent,0-35,1,60,N,Pass
100043,BBB,F,Ireland,A Level or Equivalent,0-35,0,60,N,Fail
100044,AAA,F,East Anglian Region,Lower Than A Level,0-35,0,90,N,Withdrawn
100045,EEE,M,South Region,Lower Than A Level,35-55,0,60,N,Pass
100046,CCC,M,East Anglian Region,Lower Than A Level,0-35,0,60,N,Pass
100047,EEE,F,Ireland,A Level or Equivalent,0-35,0,90,N,Pass
100048,DDD,M,South Region,Post Graduate Qualification,35-55,0,150,N,Withdrawn
100049,DDD,M,South West Region,A Level or Equivalent,55<=,0,60,N,Distinction
100050,DDD,M,London Region,Lower Than A Level,35-55,0,90,N,Withdrawn
100051,AAA,M,South West Region,A Level or Equivalent,35-55,0,120,N,Distinction
100052,BBB,M,South West Region,No Formal quals,0-35,1,60,N,Withdrawn
100053,CCC,M,South Region,HE Qualification,0-35,0,120,N,Withdrawn
100054,CCC,F,East Anglian Region,HE Qualification,35-55,0,60,N,Distinction
100055,AAA,F,London Region,No Formal quals,35-55,0,60,N,Pass
100056,CCC,M,Wales,A Level or Equivalent,35-55,1,60,Y,Withdrawn
100057,AAA,F,Ireland,Post Graduate Qualification,35-55,0,60,N,Pass
100058,DDD,F,South Region,Lower Than A Level,35-55,0,120,N,Withdrawn
100059,DDD,M,South Region,HE Qualification,0-35,0,90,Y,Withdrawn
100060,EEE,M,Scotland,HE Qualification,0-35,2,120,N,Pass
100061,DDD,F,North Region,No Formal quals,55<=,0,120,N,Fail
100062,BBB,M,London Region,A Level or Equivalent,0-35,0,60,N,Pass
100063,EEE,M,Scotland,HE Qualification,0-35,0,120,N,Distinction
100064,CCC,M,North Region,Lower Than A Level,0-35,0,120,N,Pass
100065,BBB,M,London Region,A Level or Equivalent,35-55,0,60,N,Pass
100066,EEE,M,North Region,A Level or Equivalent,35-55,0,120,N,Fail
100067,BBB,M,London Region,A Level or Equivalent,35-55,0,120,N,Distinction
100068,AAA,M,Ireland,HE Qualification,0-35,0,60,N,Withdrawn
100069,CCC,F,Ireland,Lower Than A Level,0-35,0,60,N,Fail
100070,DDD,M,North Region,Lower Than A Level,0-35,1,60,N,Pass
100071,AAA,F,Ireland,Lower Than A Level,35-55,0,150,N,Pass
100072,CCC,F,Scotland,A Level or Equivalent,0-35,1,90,N,Withdrawn
100073,AAA,F,Ireland,HE Qualification,35-55,1,120,Y,Pass
100074,DDD,F,South Region,HE Qualification,0-35,0,120,Y,Distinction
100075,CCC,M,North Region,Lower Than A Level,35-55,0,60,N,Distinction
100076,BBB,M,East Anglian Region,HE Qualification,0-35,0,150,N,Distinction
100077,BBB,M,South Region,HE Qualification,35-55,0,90,N,Pass
100078,CCC,F,South West Region,Lower Than A Level,35-55,0,90,N,Pass
100079,DDD,F,Scotland,Lower Than A Level,0-35,0,60,N,Pass
100080,EEE,F,Scotland,A Level or Equivalent,0-35,0,60,N,Withdrawn
100081,CCC,M,Scotland,A Level or Equivalent,0-35,0,60,N,Distinction
100082,AAA,M,South West Region,Lower Than A Level,0-35,0,60,N,Fail
100083,EEE,F,London Region,Lower Than A Level,35-55,1,60,N,Pass
100084,DDD,F,South West Region,Lower Than A Level,0-35,0,60,N,Withdrawn
100085,DDD,F,South West Region,Lower Than A Level,35-55,0,90,N,Withdrawn
100086,AAA,M,South West Region,Lower Than A Level,0-35,0,120,N,Withdrawn
100087,BBB,M,Ireland,HE Qualification,35-55,0,60,Y,Distinction
100088,DDD,M,South West Region,A Level or Equivalent,0-35,3,60,Y,Pass
100089,EEE,F,Wales,A Level or Equivalent,0-35,0,90,N,Pass
100090,CCC,M,Scotland,A Level or Equivalent,0-35,1,90,N,Distinction
100091,EEE,F,Scotland,A Level or Equivalent,35-55,2,90,N,Withdrawn
100092,EEE,M,South West Region,Lower Than A Level,0-35,0,150,N,Pass
100093,BBB,M,Scotland,Lower Than A Level,35-55,0,60,N,Withdrawn
100094,EEE,M,Wales,Lower Than A Level,0-35,0,60,N,Withdrawn
100095,BBB,F,London Region,A Level or Equivalent,55<=,0,120,N,Distinction
100096,BBB,F,North Region,A Level or Equivalent,35-55,2,90,N,Distinction
100097,DDD,F,North Region,A Level or Equivalent,0-35,0,90,N,Distinction
100098,DDD,F,Scotland,A Level or Equivalent,35-55,1,120,N,Withdrawn
100099,AAA,M,Wales,Post Graduate Qualification,0-35,0,60,N,Distinction
100100,EEE,M,East Anglian Region,Lower Than A Level,35-55,0,60,N,Pass
100101,AAA,F,Scotland,A Level or Equivalent,0-35,0,60,N,Distinction
100102,EEE,M,South Region,A Level or Equivalent,35-55,0,120,N,Pass
100103,AAA,M,Wales,HE Qualification,0-35,0,120,N,Pass
100104,DDD,F,London Region,HE Qualification,0-35,0,60,N,Withdrawn
100105,DDD,F,South West Region,HE Qualification,35-55,0,60,N,Pass
100106,DDD,M,South West Region,Lower Than A Level,0-35,2,90,N,Withdrawn
100107,DDD,F,South Region,A Level or Equivalent,0-35,0,60,N,Pass
100108,CCC,F,North Region,HE Qualification,0-35,0,120,N,Withdrawn
100109,DDD,F,London Region,A Level or Equivalent,35-55,0,60,N,Pass
100110,BBB,F,North Region,Post Graduate Qualification,0-35,0,120,Y,Distinction
100111,DDD,M,London Region,A Level or Equivalent,0-35,0,120,N,Pass
100112,CCC,M,Ireland,A Level or Equivalent,55<=,0,60,N,Distinction
100113,CCC,F,South Region,A Level or Equivalent,35-55,0,90,N,Withdrawn
100114,CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,90,N,Pass
100115,CCC,M,Wales,HE Qualification,0-35,0,60,N,Withdrawn
100116,AAA,F,South Region,Lower Than A Level,0-35,0,60,N,Withdrawn
100117,AAA,M,South West Region,A Level or Equivalent,35-55,0,120,N,Pass
100118,BBB,F,London Region,A Level or Equivalent,0-35,0,90,N,Pass
100119,AAA,M,Ireland,HE Qualification,0-35,0,90,N,Distinction
100120,CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
100121,DDD,F,East Anglian Region,Post Graduate Qualification,0-35,0,90,N,Pass
100122,DDD,F,Ireland,No Formal quals,0-35,0,90,N,Pass
100123,CCC,M,Scotland,Lower Than A Level,35-55,0,60,N,Withdrawn
100124,EEE,M,North Region,HE Qualification,0-35,2,60,N,Pass
100125,CCC,M,South Region,Post Graduate Qualification,0-35,1,60,N,Fail
100126,AAA,M,Ireland,Lower Than A Level,35-55,0,90,Y,Pass
100127,DDD,F,Scotland,A Level or Equivalent,0-35,0,60,N,Fail
100128,CCC,M,South West Region,Lower Than A Level,0-35,0,120,N,Withdrawn
100129,DDD,M,North Region,A Level or Equivalent,0-35,0,60,N,Distinction
100130,CCC,M,Ireland,Lower Than A Level,35-55,1,120,N,Pass
100131,CCC,M,South West Region,HE Qualification,0-35,0,60,N,Distinction
100132,AAA,F,North Region,A Level or Equivalent,35-55,0,90,N,Withdrawn
100133,CCC,M,Scotland,A Level or Equivalent,0-35,0,90,N,Pass
100134,DDD,F,South West Region,Lower Than A Level,0-35,0,90,N,Pass
100135,BBB,M,South Region,HE Qualification,0-35,0,150,N,Fail
100136,DDD,M,London Region,A Level or Equivalent,0-35,0,60,N,Distinction
100137,AAA,F,North Region,A Level or Equivalent,0-35,1,60,N,Pass
100138,BBB,M,Wales,Lower Than A Level,35-55,0,60,N,Pass
100139,CCC,M,South Region,Lower Than A Level,0-35,2,90,N,Withdrawn
100140,EEE,M,North Region,A Level or Equivalent,0-35,0,120,N,Pass
100141,BBB,M,Ireland,No Formal quals,35-55,2,60,N,Withdrawn
100142,BBB,F,London Region,Lower Than A Level,0-35,1,120,N,Withdrawn
100143,CCC,F,London Region,HE Qualification,0-35,0,60,N,Distinction
100144,EEE,M,Scotland,Lower Than A Level,0-35,1,120,N,Distinction
100145,EEE,F,London Region,HE Qualification,0-35,0,60,N,Withdrawn
100146,AAA,F,London Region,Lower Than A Level,55<=,0,150,N,Fail
100147,BBB,F,South Region,A Level or Equivalent,55<=,0,90,N,Pass
100148,EEE,M,London Region,A Level or Equivalent,0-35,0,150,N,Fail
100149,AAA,F,South West Region,Lower Than A Level,35-55,0,90,N,Distinction
100150,EEE,M,London Region,Lower Than A Level,0-35,0,60,N,Withdrawn
100151,BBB,F,Wales,A Level or Equivalent,55<=,2,120,N,Distinction
100152,EEE,F,East Anglian Region,A Level or Equivalent,35-55,1,60,N,Withdrawn
100153,BBB,M,East Anglian Region,Post Graduate Qualification,0-35,0,60,N,Pass
100154,CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
100155,DDD,F,North Region,No Formal quals,35-55,0,120,N,Withdrawn
100156,AAA,M,Ireland,A Level or Equivalent,0-35,0,90,N,Pass
100157,CCC,F,London Region,Lower Than A Level,0-35,1,60,N,Fail
100158,CCC,F,London Region,Lower Than A Level,35-55,3,120,N,Withdrawn
100159,DDD,M,South West Region,A Level or Equivalent,0-35,0,60,N,Withdrawn
100160,EEE,M,London Region,Lower Than A Level,0-35,0,60,N,Pass
100161,DDD,M,South Region,HE Qualification,0-35,0,60,N,Pass
100162,CCC,M,South Region,HE Qualification,35-55,0,60,N,Fail
100163,CCC,M,London Region,A Level or Equivalent,0-35,0,90,N,Withdrawn
100164,CCC,M,London Region,A Level or Equivalent,0-35,0,60,N,Distinction
100165,EEE,F,Wales,A Level or Equivalent,0-35,0,60,N,Pass
100166,BBB,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Pass
100167,AAA,F,London Region,Lower Than A Level,35-55,1,120,N,Fail
100168,BBB,F,Ireland,Lower Than A Level,0-35,0,90,N,Pass
100169,AAA,F,London Region,Lower Than A Level,35-55,0,60,Y,Distinction
100170,AAA,F,East Anglian Region,Lower Than A Level,0-35,0,90,N,Pass
100171,AAA,M,South West Region,HE Qualification,35-55,1,60,N,Distinction
100172,DDD,F,Wales,Lower Than A Level,0-35,0,120,N,Pass
100173,DDD,M,Scotland,Lower Than A Level,35-55,1,60,N,Pass
100174,DDD,M,London Region,No Formal quals,0-35,0,60,N,Distinction
100175,CCC,M,South Region,Post Graduate Qualification,35-55,1,60,N,Withdrawn
100176,DDD,F,South West Region,A Level or Equivalent,0-35,0,60,N,Distinction
100177,AAA,F,North Region,A Level or Equivalent,0-35,1,60,N,Withdrawn
100178,EEE,F,London Region,HE Qualification,0-35,0,90,N,Pass
100179,CCC,F,East Anglian Region,Lower Than A Level,0-35,1,60,N,Distinction
100180,EEE,M,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Distinction
100181,AAA,F,London Region,Lower Than A Level,35-55,0,90,N,Distinction
100182,CCC,M,London Region,A Level or Equivalent,35-55,0,90,N,Distinction
100183,DDD,F,London Region,Post Graduate Qualification,0-35,0,120,N,Distinction
100184,CCC,M,London Region,HE Qualification,55<=,0,60,N,Fail
100185,CCC,F,Wales,Post Graduate Qualification,0-35,0,120,N,Distinction
100186,AAA,M,South Region,HE Qualification,0-35,0,90,N,Fail
100187,BBB,F,Wales,A Level or Equivalent,35-55,1,90,Y,Pass
100188,BBB,M,South Region,HE Qualification,0-35,0,60,N,Fail
100189,BBB,M,Ireland,A Level or Equivalent,0-35,0,60,N,Distinction
100190,DDD,F,East Anglian Region,A Level or Equivalent,0-35,1,60,N,Pass
100191,DDD,M,North Region,Lower Than A Level,0-35,0,90,N,Withdrawn
100192,DDD,M,Scotland,A Level or Equivalent,0-35,0,90,N,Distinction
100193,BBB,M,London Region,Lower Than A Level,0-35,0,60,N,Pass
100194,EEE,M,London Region,A Level or Equivalent,0-35,0,60,Y,Pass
100195,AAA,M,Wales,Lower Than A Level,35-55,0,120,N,Withdrawn
100196,BBB,F,London Region,A Level or Equivalent,35-55,0,60,N,Pass
100197,AAA,M,East Anglian Region,Lower Than A Level,0-35,1,90,N,Withdrawn
100198,BBB,M,Scotland,Lower Than A Level,0-35,0,150,N,Distinction
100199,EEE,M,South Region,A Level or Equivalent,0-35,0,60,N,Distinction
100200,BBB,F,Wales,Lower Than A Level,0-35,0,90,N,Withdrawn
100201,EEE,F,Wales,Post Graduate Qualification,0-35,0,120,N,Withdrawn
100202,CCC,M,East Anglian Region,A Level or Equivalent,35-55,1,60,N,Withdrawn
100203,DDD,M,South Region,A Level or Equivalent,35-55,0,60,N,Distinction
100204,CCC,M,Wales,Lower Than A Level,0-35,2,120,N,Withdrawn
100205,BBB,F,South West Region,HE Qualification,35-55,0,60,N,Distinction
100206,DDD,F,North Region,A Level or Equivalent,35-55,0,60,N,Pass
100207,EEE,F,South West Region,A Level or Equivalent,35-55,0,60,N,Pass
100208,BBB,M,East Anglian Region,Lower Than A Level,0-35,0,120,Y,Pass
100209,DDD,F,Scotland,HE Qualification,35-55,0,60,N,Fail
100210,BBB,M,Ireland,No Formal quals,35-55,0,60,N,Withdrawn
100211,DDD,F,Ireland,A Level or Equivalent,0-35,0,60,N,Pass
100212,DDD,F,South Region,Lower Than A Level,35-55,0,60,N,Distinction
100213,CCC,M,Ireland,Lower Than A Level,35-55,0,90,N,Withdrawn
100214,DDD,F,London Region,Lower Than A Level,0-35,0,120,N,Withdrawn
100215,BBB,F,South Region,HE Qualification,0-35,0,60,N,Pass
100216,AAA,M,London Region,Post Graduate Qualification,0-35,0,90,N,Withdrawn
100217,AAA,M,North Region,Post Graduate Qualification,35-55,1,90,N,Withdrawn
100218,CCC,M,Ireland,HE Qualification,0-35,0,120,N,Pass
100219,EEE,F,Wales,Lower Than A Level,0-35,0,90,N,Distinction
100220,AAA,M,Wales,Post Graduate Qualification,0-35,0,60,N,Distinction
100221,CCC,M,London Region,Lower Than A Level,35-55,0,90,Y,Pass
100222,DDD,F,Wales,Lower Than A Level,35-55,0,90,N,Fail
100223,BBB,M,Scotland,HE Qualification,0-35,2,90,N,Pass
100224,DDD,M,Scotland,Lower Than A Level,0-35,1,60,N,Withdrawn
100225,BBB,F,North Region,HE Qualification,0-35,0,60,N,Distinction
100226,EEE,F,South Region,Post Graduate Qualification,0-35,0,60,Y,Pass
100227,CCC,F,Ireland,HE Qualification,35-55,0,60,N,Pass
100228,CCC,M,Wales,HE Qualification,0-35,0,60,N,Distinction
100229,AAA,M,Scotland,A Level or Equivalent,35-55,0,60,N,Distinction
100230,CCC,M,London Region,Lower Than A Level,35-55,0,60,N,Withdrawn
100231,EEE,F,South West Region,HE Qualification,35-55,0,60,Y,Pass
100232,AAA,M,Scotland,A Level or Equivalent,0-35,0,150,Y,Pass
100233,DDD,M,Scotland,No Formal quals,0-35,0,90,N,Withdrawn
100234,CCC,F,East Anglian Region,Lower Than A Level,0-35,0,60,N,Pass
100235,DDD,F,South Region,Lower Than A Level,35-55,0,90,N,Fail
100236,DDD,F,Wales,A Level or Equivalent,35-55,0,60,N,Distinction
100237,CCC,M,South West Region,HE Qualification,35-55,0,60,N,Pass
100238,BBB,F,Scotland,HE Qualification,35-55,0,90,Y,Withdrawn
100239,DDD,M,London Region,Post Graduate Qualification,0-35,2,60,N,Fail
100240,AAA,F,South Region,Lower Than A Level,0-35,0,90,N,Withdrawn
100241,CCC,M,London Region,A Level or Equivalent,35-55,0,60,N,Distinction
100242,AAA,F,Wales,Lower Than A Level,0-35,0,60,N,Withdrawn
100243,DDD,M,North Region,Lower Than A Level,55<=,0,60,N,Pass
100244,DDD,F,South Region,A Level or Equivalent,35-55,0,60,N,Distinction
100245,AAA,M,East Anglian Region,A Level or Equivalent,55<=,0,90,N,Pass
100246,DDD,F,South Region,A Level or Equivalent,35-55,2,60,N,Distinction
100247,CCC,M,North Region,A Level or Equivalent,0-35,0,60,Y,Withdrawn
100248,DDD,M,Ireland,A Level or Equivalent,0-35,0,60,N,Pass
100249,AAA,M,London Region,HE Qualification,0-35,1,90,Y,Withdrawn
100250,AAA,F,South Region,Lower Than A Level,35-55,0,90,N,Pass
100251,CCC,M,North Region,Lower Than A Level,0-35,0,120,N,Distinction
100252,AAA,M,Wales,HE Qualification,35-55,1,90,N,Withdrawn
100253,BBB,F,South Region,HE Qualification,0-35,0,150,N,Fail
100254,DDD,M,Ireland,HE Qualification,0-35,0,60,N,Distinction
100255,AAA,M,London Region,Lower Than A Level,0-35,0,90,Y,Pass
100256,DDD,F,Ireland,A Level or Equivalent,35-55,0,60,N,Pass
100257,AAA,F,Wales,No Formal quals,0-35,3,60,N,Withdrawn
100258,AAA,F,London Region,A Level or Equivalent,0-35,0,90,N,Distinction
100259,CCC,F,London Region,A Level or Equivalent,0-35,0,150,N,Withdrawn
100260,DDD,M,London Region,Post Graduate Qualification,0-35,0,120,N,Distinction
100261,AAA,M,North Region,Lower Than A Level,35-55,0,60,N,Distinction
100262,BBB,M,North Region,HE Qualification,0-35,0,90,N,Withdrawn
100263,EEE,F,East Anglian Region,HE Qualification,0-35,0,60,N,Pass
100264,EEE,F,North Region,Lower Than A Level,0-35,0,90,N,Fail
100265,CCC,M,East Anglian Region,HE Qualification,0-35,0,60,N,Pass
100266,CCC,F,North Region,A Level or Equivalent,0-35,1,60,N,Pass
100267,BBB,M,North Region,HE Qualification,0-35,0,60,N,Withdrawn
100268,DDD,M,North Region,No Formal quals,0-35,2,120,N,Pass
100269,CCC,F,North Region,No Formal quals,0-35,0,60,N,Fail
100270,BBB,F,South West Region,Lower Than A Level,0-35,0,60,Y,Fail
100271,AAA,F,South Region,HE Qualification,35-55,2,60,N,Pass
100272,AAA,F,North Region,No Formal quals,0-35,1,60,N,Withdrawn
100273,EEE,F,Ireland,A Level or Equivalent,35-55,0,60,N,Distinction
100274,CCC,F,East Anglian Region,A Level or Equivalent,35-55,0,90,N,Pass
100275,CCC,M,South Region,Lower Than A Level,35-55,1,60,N,Withdrawn
100276,CCC,M,South West Region,HE Qualification,0-35,0,60,N,Pass
100277,DDD,F,South Region,Lower Than A Level,35-55,0,60,Y,Withdrawn
100278,AAA,M,South Region,Lower Than A Level,35-55,0,60,N,Distinction
100279,AAA,M,Scotland,No Formal quals,55<=,1,90,N,Pass
100280,BBB,M,East Anglian Region,No Formal quals,35-55,0,60,N,Pass
100281,CCC,M,South Region,Post Graduate Qualification,0-35,0,90,N,Distinction
100282,DDD,F,South West Region,A Level or Equivalent,35-55,2,60,N,Fail
100283,CCC,M,South Region,Lower Than A Level,35-55,0,60,N,Pass
100284,CCC,M,South West Region,A Level or Equivalent,0-35,1,60,N,Pass
100285,EEE,F,London Region,Lower Than A Level,0-35,0,90,N,Distinction
100286,AAA,M,Scotland,No Formal quals,35-55,0,60,N,Fail
100287,CCC,M,East Anglian Region,A Level or Equivalent,0-35,0,90,N,Distinction
100288,CCC,M,North Region,A Level or Equivalent,35-55,0,120,N,Distinction
100289,CCC,F,Wales,Lower Than A Level,0-35,0,60,N,Withdrawn
100290,EEE,M,East Anglian Region,A Level or Equivalent,35-55,1,60,N,Fail
100291,BBB,F,East Anglian Region,HE Qualification,0-35,0,60,N,Withdrawn
100292,EEE,M,Scotland,HE Qualification,35-55,0,60,N,Pass
100293,BBB,F,South West Region,Lower Than A Level,0-35,0,60,N,Withdrawn
100294,CCC,M,East Anglian Region,Lower Than A Level,35-55,0,90,N,Distinction
100295,CCC,F,North Region,A Level or Equivalent,0-35,0,90,N,Fail
100296,EEE,M,East Anglian Region,Lower Than A Level,0-35,0,90,N,Distinction
100297,CCC,F,Ireland,No Formal quals,0-35,0,60,N,Distinction
100298,BBB,M,South West Region,A Level or Equivalent,0-35,0,60,N,Pass
100299,AAA,M,East Anglian Region,Lower Than A Level,55<=,0,120,N,Pass
100300,BBB,M,South West Region,HE Qualification,0-35,0,60,Y,Withdrawn
100301,EEE,M,South West Region,A Level or Equivalent,0-35,0,90,N,Pass
100302,AAA,M,North Region,Lower Than A Level,35-55,0,90,N,Fail
100303,EEE,F,East Anglian Region,A Level or Equivalent,0-35,2,60,Y,Pass
100304,CCC,M,South Region,Lower Than A Level,0-35,0,60,N,Withdrawn
100305,AAA,M,North Region,A Level or Equivalent,35-55,0,90,N,Distinction
100306,BBB,F,Ireland,HE Qualification,0-35,1,90,N,Fail
100307,CCC,M,North Region,No Formal quals,35-55,0,60,N,Pass
100308,BBB,M,South West Region,Lower Than A Level,35-55,2,60,Y,Withdrawn
100309,AAA,M,Scotland,A Level or Equivalent,0-35,0,60,Y,Pass
100310,DDD,M,South Region,Lower Than A Level,0-35,1,90,N,Withdrawn
100311,DDD,M,London Region,A Level or Equivalent,35-55,1,60,N,Withdrawn
100312,AAA,M,Wales,Lower Than A Level,0-35,1,120,N,Pass
100313,BBB,M,Scotland,A Level or Equivalent,35-55,0,120,N,Withdrawn
100314,BBB,F,Wales,Lower Than A Level,0-35,1,150,N,Pass
100315,DDD,M,London Region,No Formal quals,0-35,0,60,N,Pass
100316,DDD,F,North Region,No Formal quals,35-55,0,60,Y,Withdrawn
100317,DDD,F,London Region,Lower Than A Level,0-35,0,120,N,Pass
100318,EEE,M,North Region,HE Qualification,0-35,0,90,N,Fail
100319,DDD,M,Ireland,Lower Than A Level,0-35,2,60,N,Withdrawn
100320,BBB,F,South Region,HE Qualification,35-55,1,120,Y,Withdrawn
100321,AAA,F,East Anglian Region,Lower Than A Level,0-35,0,90,N,Withdrawn
100322,DDD,M,London Region,Lower Than A Level,0-35,0,90,N,Fail
100323,EEE,F,Wales,HE Qualification,0-35,0,150,N,Withdrawn
100324,EEE,F,Ireland,A Level or Equivalent,35-55,0,150,N,Pass
100325,BBB,M,North Region,A Level or Equivalent,0-35,1,90,N,Pass
100326,BBB,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass
100327,AAA,F,Wales,Lower Than A Level,0-35,1,90,Y,Withdrawn
100328,AAA,M,North Region,Lower Than A Level,0-35,0,90,N,Pass
100329,CCC,F,Ireland,A Level or Equivalent,0-35,0,90,N,Pass
100330,CCC,M,South West Region,A Level or Equivalent,35-55,0,60,N,Distinction
100331,BBB,F,East Anglian Region,Lower Than A Level,35-55,0,90,N,Distinction
100332,BBB,M,East Anglian Region,A Level or Equivalent,0-35,2,90,N,Fail
100333,EEE,M,Wales,A Level or Equivalent,0-35,2,120,N,Withdrawn
100334,CCC,M,East Anglian Region,A Level or Equivalent,0-35,1,120,N,Pass
100335,EEE,M,Scotland,HE Qualification,0-35,1,60,N,Pass
100336,EEE,F,Ireland,A Level or Equivalent,0-35,0,90,Y,Withdrawn
100337,BBB,M,North Region,A Level or Equivalent,0-35,0,90,Y,Pass
100338,BBB,F,London Region,A Level or Equivalent,35-55,1,90,N,Pass
100339,EEE,F,East Anglian Region,Lower Than A Level,0-35,0,60,Y,Withdrawn
100340,DDD,M,East Anglian Region,Lower Than A Level,0-35,1,90,N,Withdrawn
100341,BBB,F,Ireland,Lower Than A Level,55<=,0,90,N,Distinction
100342,DDD,F,Scotland,HE Qualification,0-35,1,60,N,Distinction
100343,CCC,F,Scotland,Lower Than A Level,0-35,0,120,N,Distinction
100344,EEE,M,Wales,A Level or Equivalent,0-35,1,150,N,Withdrawn
100345,BBB,F,Scotland,A Level or Equivalent,55<=,0,120,N,Distinction
100346,EEE,F,South West Region,A Level or Equivalent,0-35,0,120,N,Pass
100347,EEE,F,Scotland,HE Qualification,0-35,1,60,N,Fail
100348,AAA,M,South West Region,HE Qualification,0-35,0,120,N,Fail
100349,AAA,F,Scotland,Lower Than A Level,0-35,0,120,N,Withdrawn
100350,CCC,M,South Region,HE Qualification,0-35,0,90,N,Withdrawn
100351,AAA,M,Ireland,A Level or Equivalent,0-35,0,60,N,Distinction
100352,BBB,M,Wales,Lower Than A Level,35-55,0,60,N,Pass
100353,CCC,F,East Anglian Region,HE Qualification,35-55,0,60,N,Distinction
100354,EEE,F,Wales,HE Qualification,0-35,0,90,N,Pass
100355,EEE,M,North Region,Lower Than A Level,0-35,0,90,Y,Distinction
100356,AAA,F,Ireland,Post Graduate Qualification,0-35,1,120,Y,Pass
100357,EEE,M,North Region,A Level or Equivalent,0-35,0,120,Y,Withdrawn
100358,AAA,M,Ireland,A Level or Equivalent,35-55,0,60,N,Distinction
100359,DDD,F,Scotland,Lower Than A Level,0-35,0,60,N,Withdrawn
100360,EEE,F,London Region,Lower Than A Level,35-55,0,90,N,Pass
100361,EEE,F,London Region,A Level or Equivalent,0-35,1,60,N,Pass
100362,BBB,F,Ireland,A Level or Equivalent,35-55,0,120,N,Distinction
100363,EEE,M,Wales,A Level or Equivalent,35-55,0,120,N,Distinction
100364,AAA,F,Scotland,HE Qualification,35-55,0,60,N,Distinction
100365,CCC,M,South West Region,Lower Than A Level,35-55,1,90,N,Pass
